NACA 2412
0.760029 -0.017649
0.768357 -0.017103
0.776583 -0.016563
0.784704 -0.016028
0.792716 -0.015499
0.800617 -0.014976
0.808403 -0.014460
0.816071 -0.013950
0.823619 -0.013448
0.831042 -0.012952
0.838339 -0.012464
0.845506 -0.011983
0.852541 -0.011510
0.859441 -0.011045
0.866203 -0.010589
0.872824 -0.010140
0.879302 -0.009701
0.885634 -0.009270
0.891817 -0.008848
0.897850 -0.008436
0.903730 -0.008033
0.909454 -0.007640
0.915020 -0.007256
0.920426 -0.006883
0.925669 -0.006520
0.930748 -0.006167
0.935661 -0.005825
0.940405 -0.005494
0.944979 -0.005174
0.949381 -0.004865
0.953609 -0.004568
0.957661 -0.004282
0.961536 -0.004008
0.965232 -0.003746
0.968748 -0.003497
0.972081 -0.003260
0.975232 -0.003035
0.978198 -0.002823
0.980979 -0.002624
0.983572 -0.002438
0.985978 -0.002265
0.988195 -0.002105
0.990222 -0.001959
0.992059 -0.001827
0.993705 -0.001708
0.995158 -0.001602
0.996419 -0.001511
0.997487 -0.001434
0.998361 -0.001370
0.999041 -0.001321
0.999527 -0.001285
0.999819 -0.001264
0.999916 -0.001257
